Date,Open,High,Low,Close,Adj Close,Volume
2021-07-05,347.049988,350.100006,344.000000,346.100006,346.100006,18399524
2021-07-06,348.000000,358.200012,311.500000,316.899994,316.899994,164083830
2021-07-07,316.000000,319.100006,306.250000,317.100006,317.100006,112183313
2021-07-08,314.799988,314.799988,305.000000,306.350006,306.350006,87360324
2021-07-09,305.799988,308.850006,301.850006,306.299988,306.299988,48807214
2021-07-12,310.799988,312.000000,306.100006,307.450012,307.450012,32282319
2021-07-13,310.000000,312.250000,308.149994,310.950012,310.950012,25736308
2021-07-14,310.000000,313.299988,308.649994,309.549988,309.549988,21863250
2021-07-15,310.500000,312.850006,307.600006,310.250000,310.250000,23617599
2021-07-16,311.100006,315.450012,310.500000,311.250000,311.250000,25148606
2021-07-19,308.950012,310.299988,306.000000,308.850006,308.850006,21346348
2021-07-20,307.000000,308.000000,301.049988,302.149994,302.149994,27672567
2021-07-22,305.500000,307.450012,301.049988,302.549988,302.549988,21338361
2021-07-23,300.500000,301.899994,295.000000,295.549988,295.549988,33435130
2021-07-26,295.000000,297.000000,291.000000,293.149994,293.149994,27502360
2021-07-27,293.000000,297.649994,288.600006,291.399994,291.399994,55132877
2021-07-28,290.000000,290.899994,283.600006,284.450012,284.450012,36139725
2021-07-29,287.549988,295.399994,287.549988,292.899994,292.899994,57733359
2021-07-30,294.000000,300.000000,293.250000,293.950012,293.950012,30589609
2021-08-02,299.149994,299.399994,295.600006,296.850006,296.850006,19273390
2021-08-03,298.500000,304.500000,297.700012,303.700012,303.700012,31063992
2021-08-04,304.750000,306.450012,297.200012,298.149994,298.149994,26186248
2021-08-05,295.500000,300.899994,292.750000,299.700012,299.700012,20704901
2021-08-06,300.049988,303.399994,297.649994,300.049988,300.049988,16001898
2021-08-09,300.750000,304.200012,296.049988,298.100006,298.100006,16985859
2021-08-10,297.899994,300.200012,291.000000,294.200012,294.200012,15173990
2021-08-11,295.299988,297.799988,286.450012,295.450012,295.450012,20802022
2021-08-12,297.299988,307.399994,297.299988,306.000000,306.000000,33652880
2021-08-13,308.799988,311.500000,303.049988,307.250000,307.250000,34922863
2021-08-16,305.950012,307.850006,303.049988,303.700012,303.700012,14348786
2021-08-17,302.799988,302.799988,292.799988,297.700012,297.700012,25539214
2021-08-18,296.899994,297.750000,292.600006,293.350006,293.350006,18004320
2021-08-20,289.500000,290.700012,281.000000,283.100006,283.100006,32578752
2021-08-23,287.200012,288.299988,275.000000,276.950012,276.950012,24498294
2021-08-24,278.500000,281.500000,268.450012,279.799988,279.799988,37589121
2021-08-25,282.799988,289.200012,282.450012,284.399994,284.399994,31538128
2021-08-26,284.850006,287.350006,281.649994,284.299988,284.299988,17864053
2021-08-27,282.899994,286.799988,281.700012,285.750000,285.750000,13477390
2021-08-30,290.100006,293.500000,289.899994,291.950012,291.950012,17217097
2021-08-31,291.750000,291.950012,286.100006,287.299988,287.299988,36951003
2021-09-01,289.000000,297.399994,287.299988,295.250000,295.250000,33103168
2021-09-02,295.250000,296.299988,291.700012,293.149994,293.149994,14907001
2021-09-03,292.500000,296.450012,292.000000,295.549988,295.549988,16594135
2021-09-06,297.500000,298.950012,296.000000,297.450012,297.450012,16622865
2021-09-07,297.350006,297.799988,290.899994,294.600006,294.600006,14325904
2021-09-08,293.500000,298.799988,291.600006,295.250000,295.250000,14920479
2021-09-09,294.000000,303.500000,293.549988,298.950012,298.950012,34020970
2021-09-13,299.000000,302.000000,295.500000,301.200012,301.200012,16339860
2021-09-14,302.250000,307.200012,302.200012,306.100006,306.100006,23234649
2021-09-15,306.100006,313.000000,306.100006,311.950012,311.950012,26808872
2021-09-16,313.399994,315.000000,307.649994,311.649994,311.649994,26249369
2021-09-17,312.000000,315.350006,306.000000,308.600006,308.600006,24972069
2021-09-20,304.899994,310.250000,297.299988,298.950012,298.950012,19632688
2021-09-21,298.600006,302.700012,293.100006,301.950012,301.950012,19439330
2021-09-22,303.149994,313.799988,303.000000,310.100006,310.100006,29545253
2021-09-23,313.200012,324.000000,313.200012,321.500000,321.500000,52701665
2021-09-24,325.100006,326.950012,316.049988,317.950012,317.950012,28901243
2021-09-27,323.149994,333.600006,323.149994,331.649994,331.649994,56305136
2021-09-28,334.000000,336.000000,324.500000,329.299988,329.299988,28497009
2021-09-29,325.000000,333.000000,324.000000,330.250000,330.250000,19740150
2021-09-30,331.250000,337.899994,329.100006,333.350006,333.350006,30268517
2021-10-01,332.649994,337.299988,325.700012,333.299988,333.299988,29877695
2021-10-04,336.799988,343.250000,335.149994,342.000000,342.000000,29553072
2021-10-05,340.450012,351.500000,338.850006,344.950012,344.950012,31861985
2021-10-06,347.000000,348.700012,335.000000,336.049988,336.049988,25272592
2021-10-07,341.100006,383.000000,339.250000,376.500000,376.500000,163238084
2021-10-08,385.899994,397.549988,380.000000,382.950012,382.950012,93728117
2021-10-11,390.149994,420.899994,388.000000,415.750000,415.750000,113404983
2021-10-12,423.000000,435.700012,413.600006,420.850006,420.850006,97349265
2021-10-13,462.899994,523.849976,462.899994,506.899994,506.899994,197949387
2021-10-14,530.000000,530.000000,492.000000,497.600006,497.600006,103630901
2021-10-18,507.000000,525.000000,503.600006,509.600006,509.600006,72322623
2021-10-19,512.450012,517.400024,476.049988,481.899994,481.899994,57428637
2021-10-20,481.799988,497.000000,471.250000,486.899994,486.899994,55444814
2021-10-21,491.750000,510.399994,485.750000,508.000000,508.000000,52608672
2021-10-22,509.899994,510.700012,487.399994,490.899994,490.899994,42742785
2021-10-25,493.899994,496.000000,473.250000,479.899994,479.899994,33107841
2021-10-26,483.500000,510.000000,483.250000,508.649994,508.649994,58027770
2021-10-27,505.750000,506.549988,496.000000,497.899994,497.899994,30361263
2021-10-28,493.899994,493.899994,478.549988,481.049988,481.049988,25182748
2021-10-29,482.000000,491.600006,467.700012,483.700012,483.700012,31054342
2021-11-01,486.450012,489.700012,469.799988,485.700012,485.700012,34315690
